Аристотель;Категории;философия;81833;kategori;1;0
Аристотель;Метафизика;философия;617839;metaphis;1;0
Аристотель;Никомахова этика;философия;105002;nikomah;1;0
Аристотель;Поэтика;философия;90566;poet;1;0
Аристотель;Физика;философия;458236;physic;1;0
Арканов Аркадий;Рукописи не возвращаются;юмор;297109;manuscri;1;0
Арно Макс;Необходимо исчезнуть;триллер;181969;vanish;1;0
Арно Макс;Провокация;триллер;269752;provocat;1;0
Аррабаль Ф.;Фандо и лис;философия;61080;fando;1;0
Арсенов Яков;76-Т3;драма;419857;76t3;1;0
Арсенов Яков;Избранные ходы;драма;1033179;izbanyeh;1;0
Арсеньев Л.;Два сезона;спорт;220341;2sezon;1;0
Артемьев Илья;Рассказы;драма;45646;artems;1;0
Арцыбашев Михаил;Женщина, стоящая посреди;драма;243872;woman1;1;0
Арцыбашев Михаил;Записки писателя;драма;148941;zapiskim;1;0
Арцыбашев Михаил;Куприян;драма;131677;kuprian;1;0
Арцыбашев Михаил;Миллионы;драма;221215;millions;1;0
Арцыбашев Михаил;Рабочий Шевырев;драма;185071;worker;1;0
Арцыбашев Михаил;Рассказы;драма;291939;artcibas;1;0
Арцыбашев Михаил;Санин;драма;622912;sanin;1;0
Арцыбашев Михаил;Смерть Ланде;драма;224618;death1;1;0
Арцыбашев Михаил;Тени утра;драма;119281;shadows;1;0
Арцыбашев Михаил;У последней черты;драма;931799;last;1;0
Арцыбашев Михаил;Человеческая волна;драма;268363;wave;1;0
Арьев Андрей;Наша маленькая жизнь;документ;174185;stories;1;0
Асадов Эдуард;Стихи и поэмы;стихи;475321;asadov_1;1;0
Асов Александр;Мифологический мир ведизма;философия;268054;vedas;1;0
Асс, Бегемотов;Импотент;юмор;209021;impotent;1;0
Астафьев В.П.;Царь-рыба;драма;823846;ryba;1;1
Астафьев Виктор;Веселый солдат;юмор;318818;astaf;1;0
Аугустинавичюте;Дуальная природа человека;философия;151908;aug;1;0
Ауробиндо Шри;Мысли и афоризмы;философия;162034;aurobind;1;1
Ахиезер А.С.;Социокультурный словарь;словарь;953059;slov_p;1;0
Ахмадулина Б.;Сборник стихов;стихи;331062;ahmaduli;1;0
Ахматова Анна;Стихи и проза;стихи;137449;a_ahmat;1;0
Ашкинази Леонид;Стругацкие: комментарий для генерации NEXT;документ;662560;slovart;1;0
Бааль Вольдемар;Источник забвения;драма;755777;oblivion;1;0
