<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;60;13/06/23;210000;167.8100000
GAZP;60;13/06/23;220000;168.1500000
GAZP;60;13/06/23;230000;168.2200000
GAZP;60;14/06/23;000000;168.4300000
GAZP;60;14/06/23;110000;168.4600000
GAZP;60;14/06/23;120000;167.8400000
GAZP;60;14/06/23;130000;167.8000000
GAZP;60;14/06/23;140000;167.4100000
GAZP;60;14/06/23;150000;167.4100000
GAZP;60;14/06/23;160000;167.7700000
GAZP;60;14/06/23;170000;167.7400000
GAZP;60;14/06/23;180000;167.8800000
GAZP;60;14/06/23;190000;167.5000000
GAZP;60;14/06/23;200000;167.4800000
GAZP;60;14/06/23;210000;167.9300000
GAZP;60;14/06/23;220000;167.8000000
GAZP;60;14/06/23;230000;167.8500000
GAZP;60;15/06/23;000000;167.8800000
GAZP;60;15/06/23;110000;167.1800000
GAZP;60;15/06/23;120000;167.0300000
GAZP;60;15/06/23;130000;167.1300000
GAZP;60;15/06/23;140000;167.5700000
GAZP;60;15/06/23;150000;169.1400000
GAZP;60;15/06/23;160000;171.4600000
GAZP;60;15/06/23;170000;170.9700000
GAZP;60;15/06/23;180000;170.9900000
GAZP;60;15/06/23;190000;171.0000000
GAZP;60;15/06/23;200000;170.7000000
GAZP;60;15/06/23;210000;170.9100000
GAZP;60;15/06/23;220000;171.2500000
GAZP;60;15/06/23;230000;171.3700000
GAZP;60;16/06/23;000000;171.8600000
GAZP;60;16/06/23;110000;170.3900000
GAZP;60;16/06/23;120000;170.6100000
GAZP;60;16/06/23;130000;169.8200000
GAZP;60;16/06/23;140000;170.3900000
GAZP;60;16/06/23;150000;170.4300000
GAZP;60;16/06/23;160000;169.9300000
GAZP;60;16/06/23;170000;169.6900000
GAZP;60;16/06/23;180000;169.6500000
GAZP;60;16/06/23;190000;170.4800000
GAZP;60;16/06/23;200000;170.1000000
GAZP;60;16/06/23;210000;169.8300000
GAZP;60;16/06/23;220000;169.9300000
GAZP;60;16/06/23;230000;169.7700000
GAZP;60;17/06/23;000000;169.8700000
GAZP;60;19/06/23;110000;168.9900000
GAZP;60;19/06/23;120000;169.2500000
GAZP;60;19/06/23;130000;169.5000000
GAZP;60;19/06/23;140000;170.7600000
GAZP;60;19/06/23;150000;170.6900000
GAZP;60;19/06/23;160000;170.3900000
GAZP;60;19/06/23;170000;170.1300000
GAZP;60;19/06/23;180000;169.7800000
GAZP;60;19/06/23;190000;170.6500000
GAZP;60;19/06/23;200000;170.1600000
GAZP;60;19/06/23;210000;170.0900000
GAZP;60;19/06/23;220000;170.1000000
GAZP;60;19/06/23;230000;170.2100000
GAZP;60;20/06/23;000000;170.1900000
GAZP;60;20/06/23;110000;169.7200000
GAZP;60;20/06/23;120000;169.8200000
GAZP;60;20/06/23;130000;169.4200000
GAZP;60;20/06/23;140000;169.9400000
GAZP;60;20/06/23;150000;170.5900000
GAZP;60;20/06/23;160000;169.7000000
GAZP;60;20/06/23;170000;169.9000000
GAZP;60;20/06/23;180000;169.8900000
GAZP;60;20/06/23;190000;169.6500000
