<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SBER;60;17/03/23;220000;191.7000000;2240240
SBER;60;17/03/23;230000;192.9100000;6804590
SBER;60;18/03/23;000000;193.5900000;9229610
SBER;60;20/03/23;110000;198.5400000;57873940
SBER;60;20/03/23;120000;199.3800000;15261110
SBER;60;20/03/23;130000;199.0100000;8102950
SBER;60;20/03/23;140000;199.3900000;5272680
SBER;60;20/03/23;150000;198.7500000;8051190
SBER;60;20/03/23;160000;198.7100000;4166280
SBER;60;20/03/23;170000;199.3700000;4408210
SBER;60;20/03/23;180000;198.9400000;3346890
SBER;60;20/03/23;190000;199.0000000;2448270
SBER;60;20/03/23;200000;199.3600000;1869380
SBER;60;20/03/23;210000;201.8200000;10472290
SBER;60;20/03/23;220000;204.6500000;16811270
SBER;60;20/03/23;230000;202.6100000;12686520
SBER;60;21/03/23;000000;203.7300000;5056760
SBER;60;21/03/23;110000;203.2200000;37116560
SBER;60;21/03/23;120000;203.5000000;8094450
SBER;60;21/03/23;130000;203.8600000;3160090
SBER;60;21/03/23;140000;204.1400000;4469080
SBER;60;21/03/23;150000;205.8600000;7732970
SBER;60;21/03/23;160000;207.1600000;19469120
SBER;60;21/03/23;170000;206.4600000;10253020
SBER;60;21/03/23;180000;205.8500000;7278260
SBER;60;21/03/23;190000;204.6400000;9369990
SBER;60;21/03/23;200000;203.9200000;7717520
SBER;60;21/03/23;210000;204.2800000;2001690
SBER;60;21/03/23;220000;204.0700000;1436810
SBER;60;21/03/23;230000;203.4000000;1722650
SBER;60;22/03/23;000000;203.3200000;2446780
SBER;60;22/03/23;110000;201.9900000;17677300
SBER;60;22/03/23;120000;201.7700000;6571230
SBER;60;22/03/23;130000;203.2100000;5315130
SBER;60;22/03/23;140000;203.3000000;3516330
SBER;60;22/03/23;150000;203.1000000;4968910
SBER;60;22/03/23;160000;203.4800000;4800300
SBER;60;22/03/23;170000;203.0500000;1991060
SBER;60;22/03/23;180000;203.2500000;3093530
SBER;60;22/03/23;190000;203.2400000;1394370
SBER;60;22/03/23;200000;203.1400000;1453290
SBER;60;22/03/23;210000;203.7400000;1101970
SBER;60;22/03/23;220000;203.6100000;2831600
SBER;60;22/03/23;230000;203.0700000;1526830
SBER;60;23/03/23;000000;202.8900000;1222710
SBER;60;23/03/23;110000;203.5800000;6787010
SBER;60;23/03/23;120000;203.1000000;2788770
SBER;60;23/03/23;130000;203.2000000;2261620
SBER;60;23/03/23;140000;203.3500000;1994190
SBER;60;23/03/23;150000;203.4200000;1340990
SBER;60;23/03/23;160000;202.8900000;2931030
SBER;60;23/03/23;170000;203.1400000;1630570
SBER;60;23/03/23;180000;203.0700000;1014010
SBER;60;23/03/23;190000;203.1700000;1365690
SBER;60;23/03/23;200000;203.1300000;763290
SBER;60;23/03/23;210000;202.9400000;848790
SBER;60;23/03/23;220000;202.7900000;1222100
SBER;60;23/03/23;230000;202.7400000;604980
SBER;60;24/03/23;000000;202.5800000;930980
SBER;60;24/03/23;110000;203.2700000;4094560
SBER;60;24/03/23;120000;202.5800000;6107910
SBER;60;24/03/23;130000;203.0500000;3160250
SBER;60;24/03/23;140000;203.1100000;1216200
SBER;60;24/03/23;150000;203.2100000;1044740
SBER;60;24/03/23;160000;203.0000000;1159810
SBER;60;24/03/23;170000;202.9000000;1149000
SBER;60;24/03/23;180000;203.1200000;1617580
SBER;60;24/03/23;190000;203.0700000;975080
SBER;60;24/03/23;200000;203.0200000;626740
SBER;60;24/03/23;210000;203.1200000;718110
SBER;60;24/03/23;220000;203.2200000;465560
SBER;60;24/03/23;230000;203.3600000;846830
SBER;60;25/03/23;000000;203.5700000;1114920
SBER;60;27/03/23;110000;205.1800000;14128800
SBER;60;27/03/23;120000;205.5800000;5101630
SBER;60;27/03/23;130000;206.6200000;8713880
SBER;60;27/03/23;140000;208.4100000;12648070
SBER;60;27/03/23;150000;208.6500000;6906680
SBER;60;27/03/23;160000;209.1300000;7041800
SBER;60;27/03/23;170000;209.2900000;6189660
SBER;60;27/03/23;180000;209.4000000;3269160
SBER;60;27/03/23;190000;209.2900000;2672890
SBER;60;27/03/23;200000;210.2500000;6903450
SBER;60;27/03/23;210000;211.4400000;7207990
SBER;60;27/03/23;220000;212.3300000;7880740
SBER;60;27/03/23;230000;212.2500000;6991530
SBER;60;28/03/23;000000;211.8400000;5692610
SBER;60;28/03/23;110000;212.9300000;28577770
SBER;60;28/03/23;120000;211.0400000;9606490
SBER;60;28/03/23;130000;212.3800000;8569440
SBER;60;28/03/23;140000;212.3300000;2925310
SBER;60;28/03/23;150000;212.2300000;1902460
SBER;60;28/03/23;160000;213.2800000;6224950
SBER;60;28/03/23;170000;213.0600000;4004420
SBER;60;28/03/23;180000;212.8200000;2249270
SBER;60;28/03/23;190000;213.1900000;2352610
SBER;60;28/03/23;200000;213.3400000;1449830
SBER;60;28/03/23;210000;213.1200000;1224070
SBER;60;28/03/23;220000;213.0500000;780780
SBER;60;28/03/23;230000;213.2900000;789700
SBER;60;29/03/23;000000;214.0300000;3012180
SBER;60;29/03/23;110000;214.0200000;10736120
SBER;60;29/03/23;120000;214.1100000;4602300
SBER;60;29/03/23;130000;214.1800000;2481450
SBER;60;29/03/23;140000;216.8300000;13766950
SBER;60;29/03/23;150000;217.4300000;15802550
SBER;60;29/03/23;160000;219.2400000;11898960
SBER;60;29/03/23;170000;218.1900000;13827370
SBER;60;29/03/23;180000;217.5500000;8658070
SBER;60;29/03/23;190000;218.1400000;3813890
SBER;60;29/03/23;200000;217.9900000;3096500
SBER;60;29/03/23;210000;218.4700000;1333490
SBER;60;29/03/23;220000;218.6200000;2603840
SBER;60;29/03/23;230000;218.5000000;1541070
SBER;60;30/03/23;000000;217.9900000;2387080
SBER;60;30/03/23;110000;217.8200000;16252680
SBER;60;30/03/23;120000;218.0000000;4346220
SBER;60;30/03/23;130000;217.5000000;3219860
SBER;60;30/03/23;140000;217.3400000;1742760
SBER;60;30/03/23;150000;217.0200000;3416120
SBER;60;30/03/23;160000;217.0100000;2225630
SBER;60;30/03/23;170000;216.8700000;1920490
SBER;60;30/03/23;180000;217.2300000;2147220
SBER;60;30/03/23;190000;217.4000000;931980
SBER;60;30/03/23;200000;217.0900000;725400
SBER;60;30/03/23;210000;217.3300000;1289650
SBER;60;30/03/23;220000;217.2400000;526810
SBER;60;30/03/23;230000;216.9900000;1155500
SBER;60;31/03/23;000000;216.8700000;837230
SBER;60;31/03/23;110000;214.7500000;16880180
SBER;60;31/03/23;120000;215.0900000;5694730
SBER;60;31/03/23;130000;213.6900000;8001880
SBER;60;31/03/23;140000;212.9700000;15848110
SBER;60;31/03/23;150000;212.7400000;8420320
SBER;60;31/03/23;160000;213.2200000;4618310
SBER;60;31/03/23;170000;212.9700000;2477310
SBER;60;31/03/23;180000;214.9300000;11350130
SBER;60;31/03/23;190000;215.5000000;3817730
SBER;60;31/03/23;200000;216.0400000;4827890
SBER;60;31/03/23;210000;215.5600000;1702600
SBER;60;31/03/23;220000;216.1200000;977530
SBER;60;31/03/23;230000;216.2600000;1611480
SBER;60;01/04/23;000000;216.6000000;1794990
SBER;60;03/04/23;110000;217.1000000;13842510
SBER;60;03/04/23;120000;217.1400000;6432820
SBER;60;03/04/23;130000;216.8400000;3631060
SBER;60;03/04/23;140000;216.8000000;2637980
SBER;60;03/04/23;150000;215.6900000;5290560
SBER;60;03/04/23;160000;215.8500000;4699910
SBER;60;03/04/23;170000;215.3700000;4757240
SBER;60;03/04/23;180000;215.7000000;7162710
SBER;60;03/04/23;190000;215.2000000;1923930
SBER;60;03/04/23;200000;216.0700000;1278020
SBER;60;03/04/23;210000;215.9500000;741540
SBER;60;03/04/23;220000;216.1300000;727220
SBER;60;03/04/23;230000;216.2000000;684340
SBER;60;04/04/23;000000;216.0900000;979140
SBER;60;04/04/23;110000;216.4300000;9915350
SBER;60;04/04/23;120000;216.7700000;6641170
SBER;60;04/04/23;130000;216.2900000;2765250
SBER;60;04/04/23;140000;216.2500000;1477550
SBER;60;04/04/23;150000;216.4400000;2140280
SBER;60;04/04/23;160000;215.8600000;3304530
SBER;60;04/04/23;170000;215.8000000;2470950
SBER;60;04/04/23;180000;214.0300000;9373360
SBER;60;04/04/23;190000;214.2900000;3048810
SBER;60;04/04/23;200000;215.0900000;1552410
SBER;60;04/04/23;210000;214.8900000;754030
SBER;60;04/04/23;220000;214.6300000;717580
SBER;60;04/04/23;230000;214.6000000;935930
SBER;60;05/04/23;000000;214.8300000;650050
SBER;60;05/04/23;110000;214.2000000;15870220
SBER;60;05/04/23;120000;213.8800000;4219330
SBER;60;05/04/23;130000;214.0500000;2766400
SBER;60;05/04/23;140000;214.3100000;1896250
SBER;60;05/04/23;150000;214.1400000;2059000
SBER;60;05/04/23;160000;213.7400000;1550270
SBER;60;05/04/23;170000;214.0400000;2686610
SBER;60;05/04/23;180000;214.4400000;2434760
SBER;60;05/04/23;190000;215.9900000;6531400
SBER;60;05/04/23;200000;215.7900000;2303640
SBER;60;05/04/23;210000;215.7300000;803840
SBER;60;05/04/23;220000;216.1800000;1620850
SBER;60;05/04/23;230000;216.1300000;651410
SBER;60;06/04/23;000000;216.1500000;733980
SBER;60;06/04/23;110000;216.5200000;10326250
SBER;60;06/04/23;120000;215.6900000;4172580
SBER;60;06/04/23;130000;216.1500000;1992420
SBER;60;06/04/23;140000;215.9200000;2419780
SBER;60;06/04/23;150000;215.2900000;3091060
SBER;60;06/04/23;160000;215.4400000;1870640
SBER;60;06/04/23;170000;215.3800000;4710350
SBER;60;06/04/23;180000;215.2000000;1618160
SBER;60;06/04/23;190000;214.3100000;3150920
SBER;60;06/04/23;200000;215.4000000;1653790
SBER;60;06/04/23;210000;215.3700000;1409550
SBER;60;06/04/23;220000;215.3300000;906820
SBER;60;06/04/23;230000;215.0300000;285830
SBER;60;07/04/23;000000;214.2500000;1385270
SBER;60;07/04/23;110000;214.6500000;5665720
SBER;60;07/04/23;120000;214.8000000;2025300
SBER;60;07/04/23;130000;214.9100000;1730270
SBER;60;07/04/23;140000;215.0600000;2649890
SBER;60;07/04/23;150000;214.9600000;1373650
SBER;60;07/04/23;160000;215.0600000;1654410
SBER;60;07/04/23;170000;215.5400000;2565840
SBER;60;07/04/23;180000;216.2100000;3623990
SBER;60;07/04/23;190000;216.1500000;2676480
SBER;60;07/04/23;200000;215.8800000;1292910
SBER;60;07/04/23;210000;215.9900000;716390
SBER;60;07/04/23;220000;216.1800000;924850
SBER;60;07/04/23;230000;216.2600000;592570
SBER;60;08/04/23;000000;216.2700000;1664790
SBER;60;10/04/23;110000;217.9900000;15193370
SBER;60;10/04/23;120000;220.2400000;20206930
SBER;60;10/04/23;130000;220.7500000;16148460
SBER;60;10/04/23;140000;220.8000000;4489770
SBER;60;10/04/23;150000;220.7200000;5890750
SBER;60;10/04/23;160000;220.3600000;3085800
SBER;60;10/04/23;170000;220.5600000;2512320
SBER;60;10/04/23;180000;220.4800000;2548860
SBER;60;10/04/23;190000;220.9500000;3501920
SBER;60;10/04/23;200000;221.4700000;3683230
SBER;60;10/04/23;210000;221.7000000;1335110
SBER;60;10/04/23;220000;221.5800000;1135670
SBER;60;10/04/23;230000;221.7500000;2644820
SBER;60;11/04/23;000000;222.2100000;2581920
SBER;60;11/04/23;110000;221.4700000;25605310
SBER;60;11/04/23;120000;221.9300000;7041900
SBER;60;11/04/23;130000;222.1600000;5638130
SBER;60;11/04/23;140000;221.7500000;4387920
SBER;60;11/04/23;150000;222.0400000;4076610
SBER;60;11/04/23;160000;221.6000000;2080970
SBER;60;11/04/23;170000;219.1300000;31004500
SBER;60;11/04/23;180000;219.4400000;7274060
SBER;60;11/04/23;190000;218.9400000;3541720
SBER;60;11/04/23;200000;218.8600000;1350410
SBER;60;11/04/23;210000;218.6600000;2241260
SBER;60;11/04/23;220000;219.7000000;2045940
SBER;60;11/04/23;230000;219.0300000;873110
SBER;60;12/04/23;000000;218.6000000;1187360
SBER;60;12/04/23;110000;218.0500000;15732750
SBER;60;12/04/23;120000;218.2000000;5231220
SBER;60;12/04/23;130000;218.2700000;4640130
SBER;60;12/04/23;140000;219.0500000;4026820
SBER;60;12/04/23;150000;219.3500000;2890690
SBER;60;12/04/23;160000;219.4300000;2874580
SBER;60;12/04/23;170000;218.9100000;2077640
SBER;60;12/04/23;180000;219.2800000;2322010
SBER;60;12/04/23;190000;218.7000000;2179120
SBER;60;12/04/23;200000;219.0100000;763460
SBER;60;12/04/23;210000;218.7600000;400570
SBER;60;12/04/23;220000;218.8800000;251450
SBER;60;12/04/23;230000;219.0400000;609320
SBER;60;13/04/23;000000;219.2200000;633440
SBER;60;13/04/23;110000;218.7400000;10874130
SBER;60;13/04/23;120000;218.9900000;5507900
SBER;60;13/04/23;130000;218.4500000;3640090
SBER;60;13/04/23;140000;218.4200000;1755860
SBER;60;13/04/23;150000;218.5300000;1864160
SBER;60;13/04/23;160000;219.2100000;2156860
SBER;60;13/04/23;170000;218.6100000;1546000
SBER;60;13/04/23;180000;218.9700000;1211220
SBER;60;13/04/23;190000;218.9000000;830710
SBER;60;13/04/23;200000;219.1000000;601890
SBER;60;13/04/23;210000;219.0300000;274130
SBER;60;13/04/23;220000;219.3600000;768070
SBER;60;13/04/23;230000;219.6000000;654930
SBER;60;14/04/23;000000;219.8500000;894600
SBER;60;14/04/23;110000;219.3700000;6191740
SBER;60;14/04/23;120000;218.9600000;3338400
SBER;60;14/04/23;130000;219.1900000;2064450
SBER;60;14/04/23;140000;219.2300000;1290360
SBER;60;14/04/23;150000;219.6500000;1917480
SBER;60;14/04/23;160000;219.9800000;5692230
SBER;60;14/04/23;170000;221.4200000;7772260
SBER;60;14/04/23;180000;221.3200000;3495850
SBER;60;14/04/23;190000;221.7000000;2026480
SBER;60;14/04/23;200000;221.8800000;1912620
SBER;60;14/04/23;210000;222.2500000;3143180
SBER;60;14/04/23;220000;222.3100000;1079270
SBER;60;14/04/23;230000;221.9800000;1431540
SBER;60;15/04/23;000000;221.8700000;1892950
SBER;60;17/04/23;110000;224.7900000;17701890
SBER;60;17/04/23;120000;224.7700000;9840010
SBER;60;17/04/23;130000;224.4500000;7926880
SBER;60;17/04/23;140000;224.3400000;2410980
SBER;60;17/04/23;150000;225.0700000;4911380
SBER;60;17/04/23;160000;225.2100000;5162550
SBER;60;17/04/23;170000;225.1900000;5055770
SBER;60;17/04/23;180000;226.1000000;5033810
SBER;60;17/04/23;190000;226.6300000;5829110
SBER;60;17/04/23;200000;227.6500000;6903050
SBER;60;17/04/23;210000;227.7000000;2891480
SBER;60;17/04/23;220000;227.8400000;1441240
SBER;60;17/04/23;230000;227.9000000;1047850
SBER;60;18/04/23;000000;228.1000000;2406510
SBER;60;18/04/23;110000;229.1100000;17380980
SBER;60;18/04/23;120000;229.3000000;10951650
SBER;60;18/04/23;130000;227.8300000;10968200
SBER;60;18/04/23;140000;228.3200000;6088110
SBER;60;18/04/23;150000;228.9700000;5771030
SBER;60;18/04/23;160000;228.9300000;3662980
SBER;60;18/04/23;170000;230.7600000;16159230
SBER;60;18/04/23;180000;231.3000000;7415650
SBER;60;18/04/23;190000;231.3900000;6815210
SBER;60;18/04/23;200000;232.3500000;4237950
SBER;60;18/04/23;210000;231.9300000;2737060
SBER;60;18/04/23;220000;232.1600000;1197060
SBER;60;18/04/23;230000;232.3000000;1566360
SBER;60;19/04/23;000000;232.6600000;2508510
SBER;60;19/04/23;110000;234.1200000;20619380
SBER;60;19/04/23;120000;233.8900000;11047990
SBER;60;19/04/23;130000;234.5500000;5858420
SBER;60;19/04/23;140000;234.8600000;7252050
SBER;60;19/04/23;150000;236.8000000;14795240
SBER;60;19/04/23;160000;235.2400000;11159040
SBER;60;19/04/23;170000;233.3600000;19942600
SBER;60;19/04/23;180000;234.8800000;11651320
SBER;60;19/04/23;190000;233.8000000;3968340
SBER;60;19/04/23;200000;234.8000000;1833370
SBER;60;19/04/23;210000;234.3400000;1317560
SBER;60;19/04/23;220000;233.6300000;1538120
SBER;60;19/04/23;230000;233.2600000;2760130
SBER;60;20/04/23;000000;232.9500000;1750460
SBER;60;20/04/23;110000;232.4000000;13208780
SBER;60;20/04/23;120000;231.2000000;14065100
SBER;60;20/04/23;130000;233.0200000;8356090
SBER;60;20/04/23;140000;233.3000000;4702990
SBER;60;20/04/23;150000;234.1200000;8868570
SBER;60;20/04/23;160000;234.7700000;9813480
SBER;60;20/04/23;170000;235.0000000;3372660
SBER;60;20/04/23;180000;235.8300000;5635520
SBER;60;20/04/23;190000;235.7900000;3198310
SBER;60;20/04/23;200000;235.9800000;4794210
SBER;60;20/04/23;210000;235.8300000;3449380
SBER;60;20/04/23;220000;235.8400000;1135230
SBER;60;20/04/23;230000;236.1200000;2105230
SBER;60;21/04/23;000000;236.2800000;2341190
SBER;60;21/04/23;110000;236.1500000;39819410
SBER;60;21/04/23;120000;236.8600000;5732590
SBER;60;21/04/23;130000;236.8100000;40425270
SBER;60;21/04/23;140000;235.8600000;5487590
SBER;60;21/04/23;150000;235.9000000;2869200
SBER;60;21/04/23;160000;234.8200000;6947660
SBER;60;21/04/23;170000;235.0500000;5055530
SBER;60;21/04/23;180000;235.2900000;2949190
SBER;60;21/04/23;190000;235.8900000;1591150
SBER;60;21/04/23;200000;235.2100000;716460
SBER;60;21/04/23;210000;235.1300000;686040
SBER;60;21/04/23;220000;235.5500000;613350
SBER;60;21/04/23;230000;235.3500000;1485590
SBER;60;22/04/23;000000;235.1700000;1227530
SBER;60;24/04/23;110000;235.6100000;10285830
SBER;60;24/04/23;120000;235.3300000;3110580
SBER;60;24/04/23;130000;235.5300000;2344200
SBER;60;24/04/23;140000;235.5100000;1408460
SBER;60;24/04/23;150000;235.7300000;1707850
SBER;60;24/04/23;160000;235.6100000;1041720
SBER;60;24/04/23;170000;235.5400000;4574780
SBER;60;24/04/23;180000;235.2600000;2823250
SBER;60;24/04/23;190000;235.1400000;1039030
SBER;60;24/04/23;200000;235.2300000;435150
SBER;60;24/04/23;210000;235.0600000;370440
SBER;60;24/04/23;220000;235.1500000;472970
SBER;60;24/04/23;230000;235.0800000;385520
SBER;60;25/04/23;000000;235.1000000;405260
SBER;60;25/04/23;110000;234.4600000;9152490
SBER;60;25/04/23;120000;235.1200000;6134450
SBER;60;25/04/23;130000;234.8700000;2296870
SBER;60;25/04/23;140000;234.9100000;2728210
SBER;60;25/04/23;150000;235.0000000;1205630
SBER;60;25/04/23;160000;235.2200000;3092540
SBER;60;25/04/23;170000;235.4900000;2084230
SBER;60;25/04/23;180000;235.0500000;1895190
SBER;60;25/04/23;190000;235.2900000;599740
SBER;60;25/04/23;200000;235.0100000;506450
SBER;60;25/04/23;210000;234.8600000;654400
SBER;60;25/04/23;220000;234.8700000;511460
SBER;60;25/04/23;230000;234.9900000;481950
SBER;60;26/04/23;000000;235.3000000;720140
SBER;60;26/04/23;110000;235.1700000;3934490
SBER;60;26/04/23;120000;235.2800000;1621060
SBER;60;26/04/23;130000;235.0700000;2174200
SBER;60;26/04/23;140000;235.1700000;1681030
SBER;60;26/04/23;150000;235.5200000;1970900
SBER;60;26/04/23;160000;235.9000000;2876410
SBER;60;26/04/23;170000;235.5900000;1943850
SBER;60;26/04/23;180000;235.1800000;1503760
SBER;60;26/04/23;190000;235.3300000;1895540
SBER;60;26/04/23;200000;235.6500000;1555350
SBER;60;26/04/23;210000;235.4800000;431070
SBER;60;26/04/23;220000;235.5000000;553530
SBER;60;26/04/23;230000;235.0900000;1013430
SBER;60;27/04/23;000000;235.2100000;1197000
SBER;60;27/04/23;110000;237.2500000;12483080
SBER;60;27/04/23;120000;238.0200000;7485360
SBER;60;27/04/23;130000;238.7200000;7633950
SBER;60;27/04/23;140000;240.2000000;10135430
SBER;60;27/04/23;150000;238.6900000;7238320
SBER;60;27/04/23;160000;239.2000000;5675040
SBER;60;27/04/23;170000;239.8500000;3309510
SBER;60;27/04/23;180000;239.8000000;3444370
SBER;60;27/04/23;190000;239.4900000;3044420
SBER;60;27/04/23;200000;239.7900000;1305000
SBER;60;27/04/23;210000;239.9200000;1220110
SBER;60;27/04/23;220000;239.9000000;1358450
SBER;60;27/04/23;230000;240.2300000;1974930
SBER;60;28/04/23;000000;240.3800000;1916870
SBER;60;28/04/23;110000;240.5600000;12403050
SBER;60;28/04/23;120000;240.5600000;4054910
SBER;60;28/04/23;130000;239.7300000;2712460
SBER;60;28/04/23;140000;239.8600000;2569030
SBER;60;28/04/23;150000;238.2400000;11093890
SBER;60;28/04/23;160000;239.7700000;5028930
SBER;60;28/04/23;170000;239.9400000;3291100
SBER;60;28/04/23;180000;239.9200000;1247820
SBER;60;28/04/23;190000;240.4100000;1643000
SBER;60;28/04/23;200000;240.1200000;952270
SBER;60;28/04/23;210000;239.3500000;1453770
SBER;60;28/04/23;220000;240.0000000;601770
SBER;60;28/04/23;230000;240.1400000;708460
SBER;60;29/04/23;000000;240.3800000;1734500
SBER;60;02/05/23;110000;243.6500000;17442110
SBER;60;02/05/23;120000;243.6100000;7164910
SBER;60;02/05/23;130000;243.9300000;5347340
SBER;60;02/05/23;140000;244.7400000;5740390
SBER;60;02/05/23;150000;244.5700000;3627810
SBER;60;02/05/23;160000;244.1100000;2662450
SBER;60;02/05/23;170000;243.5800000;3606850
SBER;60;02/05/23;180000;239.0200000;19115320
SBER;60;02/05/23;190000;240.1500000;9663710
SBER;60;02/05/23;200000;242.5800000;4251430
SBER;60;02/05/23;210000;242.0900000;2090070
SBER;60;02/05/23;220000;241.8000000;764290
SBER;60;02/05/23;230000;241.8000000;574360
SBER;60;03/05/23;000000;242.6200000;1195840
SBER;60;03/05/23;110000;241.3500000;14842650
SBER;60;03/05/23;120000;240.8700000;5719480
SBER;60;03/05/23;130000;241.8600000;4509040
SBER;60;03/05/23;140000;242.3600000;3484660
SBER;60;03/05/23;150000;240.9500000;3335410
SBER;60;03/05/23;160000;240.2600000;3583650
SBER;60;03/05/23;170000;239.3600000;9162230
SBER;60;03/05/23;180000;238.6500000;3929560
SBER;60;03/05/23;190000;238.0000000;4398660
SBER;60;03/05/23;200000;236.4500000;12435360
SBER;60;03/05/23;210000;237.1500000;3356780
SBER;60;03/05/23;220000;236.5300000;3438790
SBER;60;03/05/23;230000;236.0000000;2166350
SBER;60;04/05/23;000000;235.7700000;2378310
SBER;60;04/05/23;110000;238.0200000;15772440
SBER;60;04/05/23;120000;237.8600000;4321760
SBER;60;04/05/23;130000;239.4900000;6638860
SBER;60;04/05/23;140000;238.9100000;2959300
SBER;60;04/05/23;150000;238.9700000;2322250
SBER;60;04/05/23;160000;236.7300000;7004250
SBER;60;04/05/23;170000;237.4200000;2242850
SBER;60;04/05/23;180000;237.4500000;4322150
SBER;60;04/05/23;190000;237.2100000;1781540
SBER;60;04/05/23;200000;237.4400000;552900
SBER;60;04/05/23;210000;238.6500000;2003030
SBER;60;04/05/23;220000;238.4100000;1505230
SBER;60;04/05/23;230000;238.5200000;918100
SBER;60;05/05/23;000000;238.8900000;662180
SBER;60;05/05/23;110000;240.1500000;12560650
SBER;60;05/05/23;120000;239.7900000;5656620
SBER;60;05/05/23;130000;239.6800000;4376320
SBER;60;05/05/23;140000;239.6900000;2441570
SBER;60;05/05/23;150000;240.4300000;6960670
SBER;60;05/05/23;160000;239.2200000;6823580
SBER;60;05/05/23;170000;239.3100000;3869590
SBER;60;05/05/23;180000;239.5800000;4005780
SBER;60;05/05/23;190000;239.8900000;2993310
SBER;60;05/05/23;200000;239.2000000;1297160
SBER;60;05/05/23;210000;239.2800000;1785650
SBER;60;05/05/23;220000;238.0100000;2584070
SBER;60;05/05/23;230000;238.3800000;3155530
SBER;60;06/05/23;000000;237.7000000;2804210
SBER;60;08/05/23;110000;238.9000000;8447210
SBER;60;08/05/23;120000;238.8500000;2475430
SBER;60;08/05/23;130000;238.6000000;1963270
SBER;60;08/05/23;140000;237.7300000;5109320
SBER;60;08/05/23;150000;237.9500000;1685320
SBER;60;08/05/23;160000;238.4000000;2154500
